Candidate_ID,Name,state,Email,Age,Experience,Status,Ad_Type
1,Marybeth Wabersinke,Florida,mwabersinke0@tripadvisor.com,19,1,TBD,Digital
2,Aldous Itschakov,Washington,aitschakov1@smugmug.com,17,1,TBD,Print
3,Fran Gerrietz,Nevada,fgerrietz2@tiny.cc,20,1,TBD,Digital
4,Deborah Woodard,Pennsylvania,dwoodard3@diigo.com,16,5,TBD,Print
5,Paige Fuzzens,Kansas,pfuzzens4@cnet.com,14,3,TBD,Print
6,Lianna Tregido,Nebraska,ltregido5@lycos.com,15,0,TBD,Digital
7,Wenda Deackes,Colorado,wdeackes6@cmu.edu,21,2,TBD,Digital
8,Cosette Wager,Hawaii,cwager7@apple.com,18,2,TBD,Print
9,Joey Eskrigg,Virginia,jeskrigg8@dedecms.com,16,1,TBD,Print
10,Abbi Geertz,Pennsylvania,ageertz9@samsung.com,14,0,TBD,Digital
